Time engk1       engi1       
  0.1845E-01  0.3059E+07  0.1646E+06
  0.1848E-01  0.3058E+07  0.1651E+06
  0.1852E-01  0.3058E+07  0.1655E+06
  0.1855E-01  0.3057E+07  0.1660E+06
  0.1858E-01  0.3057E+07  0.1665E+06
  0.1862E-01  0.3056E+07  0.1670E+06
  0.1865E-01  0.3056E+07  0.1675E+06
  0.1869E-01  0.3055E+07  0.1680E+06
  0.1872E-01  0.3055E+07  0.1685E+06
  0.1875E-01  0.3054E+07  0.1689E+06
  0.1879E-01  0.3054E+07  0.1694E+06
  0.1882E-01  0.3053E+07  0.1699E+06
  0.1886E-01  0.3053E+07  0.1703E+06
  0.1889E-01  0.3052E+07  0.1708E+06
  0.1892E-01  0.3052E+07  0.1712E+06
  0.1896E-01  0.3051E+07  0.1717E+06
